,link,datetime
180,https://www.thenews.com.pk/latest/608956-faisalabad-woman-hacks-off-mans-genitals-for-allegedly-attempting-to-rape-her,"February 4, 2020"
181,https://www.thenews.com.pk/print/296366-family-wanted-for-baldia-honour-killing-arrested-in-islamabad,"March 25, 2018"
182,https://www.thenews.com.pk/latest/714286-draft-position-paper-on-police-reforms-issued-by-pakistans-ssdo-us-institute-for-peace,"September 13, 2020"
183,https://www.thenews.com.pk/latest/529471-1300-cases-of-child-sexual-abuse-reported-in-pakistan-study,"September 20, 2019"
184,https://www.thenews.com.pk/print/624431-boy-killed-by-friend,"March 6, 2020"
185,https://www.thenews.com.pk/print/733457-woman-killed-for-honour-by-husband-in-orangi-town,"October 23, 2020"
186,https://www.thenews.com.pk/print/539269-high-courts-to-establish-gbv-courts-by-nov-4,"October 10, 2019"
187,https://www.thenews.com.pk/latest/143148-Honour-killing-Husband-slits-wifes-throatutm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+com%2FYEor+,"August 17, 2016"
188,https://www.thenews.com.pk/print/712752-teenage-girl-shot-dead-in-haripur,"September 10, 2020"
189,https://www.thenews.com.pk/print/91822-Child-abuse-gang-busted,"January 18, 2016"
190,https://www.thenews.com.pk/print/740375-18-year-old-indian-girl-breaks-world-record-for-longest-hair,"November 7, 2020"
191,https://www.thenews.com.pk/print/527294-boy-dies-five-injured-in-accident,"September 16, 2019"
192,https://www.thenews.com.pk/print/620385-missing-boy-killed-by-lions-in-safari-park,"February 27, 2020"
193,https://www.thenews.com.pk/latest/714717-authorities-continue-search-for-prime-suspect-in-motorway-rape-case,"September 14, 2020"
194,https://www.thenews.com.pk/print/401921-zero-tolerance-for-violence-against-women-minister,"December 5, 2018"
195,https://www.thenews.com.pk/print/755393-former-sen-paul-sarbanes-of-maryland-dies-at-87,"December 8, 2020"
196,https://www.thenews.com.pk/print/751207-rape-laws,"November 30, 2020"
197,https://www.thenews.com.pk/print/714109-liberia-declares-rape-a-national-emergency,"September 13, 2020"
198,https://www.thenews.com.pk/print/686760-macron-defends-promotion-of-minister-accused-of-rape,"July 15, 2020"
199,https://www.thenews.com.pk/print/715074-tragic-incident-of-gang-rape-senate-body-asks-30-questions-from-officials,"September 15, 2020"
200,https://www.thenews.com.pk/latest/123234-After-school-tutoring-is-like-child-abuse-researchers,"May 27, 2016"
201,https://www.thenews.com.pk/latest/715214-aurat-foundation-condemned-motorway-gang-rape-case,"September 15, 2020"
202,https://www.thenews.com.pk/print/743846-missing-boy-found-dead,"November 15, 2020"
203,https://www.thenews.com.pk/print/734925-girl-drowns-while-taking-selfie,"October 26, 2020"
204,https://www.thenews.com.pk/latest/5390-fake-degree-scam-axact-call-agents-used-to-intimidate-blackmail-clients-in-uae,"June 15, 2015"
205,https://www.thenews.com.pk/print/579149-women-and-tradition,"December 6, 2019"
